ID,name,link
0,Full Control Bodyweight App - Quick Feet Squat - DE,https://www.youtube.com/embed/65TlF7WyVZw?si=Xaj7yDSPj_26PGnI
1,Full Control Bodyweight App - Boxing Slip & Roll - EN,https://www.youtube.com/embed/uMGqSvFw3Bk?si=Bi4yr-gPbav3X5lA
2,Full Control Bodyweight App - Thai Knees - EN,https://www.youtube.com/embed/TH-9FSDkRUs?si=KtcMjq-Ds2h0SJoM
3,Full Control Bodyweight App - Skipping - EN,https://www.youtube.com/embed/incA7qVSxkU?si=qqrNB5S_0AaQ2PUI
4,Full Control Bodyweight App - Pike Push-ups - EN,https://www.youtube.com/embed/fCvrA65SMAs?si=Eco4USGOjHVNB5dR
5,Full Control Bodyweight App - Leg Raises - EN,https://www.youtube.com/embed/UNlsNoe_8Og?si=ProJsmjz9pXY4y-g
6,Full Control Bodyweight App - T Planks - EN,https://www.youtube.com/embed/1lYPRcZHD8I?si=9CI2f-VAHzZGUHFJ
7,Full Control Bodyweight App - Plank Jacks - EN,https://www.youtube.com/embed/7qq1Lb9Q900?si=EoNjfK6rtR16zdiF
8,Full Control Bodyweight App - Sit-ups - EN,https://www.youtube.com/embed/QmhNeG-4iC4?si=m6HeSVD0zw0fVPA9
9,Full Control Bodyweight App - One Handed Sprawls - EN,https://www.youtube.com/embed/BLh71Y8topk?si=9Y-EmBl2PxqElFty
10,Full Control Bodyweight App - MMA Push-ups - EN,https://www.youtube.com/embed/7gdkQ6vHtKQ?si=IyF9Ur09_oITcwUZ
11,Full Control Bodyweight App - Windshield Wipers - EN,https://www.youtube.com/embed/XXcRdXIw0go?si=g6tOwSqM9qLgeYMR
12,Full Control Bodyweight App - Tuck Jump Burpees - EN,https://www.youtube.com/embed/whI1-Q8Z4Do?si=H7m6ZSuc94MgD69h
13,Full Control Bodyweight App - Spiderman Push-ups - EN,https://www.youtube.com/embed/7TOkT1tVcYg?si=PZ-0DML5QKEtRhif
14,Full Control Bodyweight App - Shuttle Push-ups - EN,https://www.youtube.com/embed/BElpg-IvCz8?si=13aEygMiKjYjZ7ze
15,Full Control Bodyweight App - Walking Kicks - EN,https://www.youtube.com/embed/-YM1Bh6fy4Q?si=RzZBa2ydidmNXOJB
16,Full Control Bodyweight App - Thai Knee Sprawls - EN,https://www.youtube.com/embed/yiUnwLeypLA?si=-Vffs8Wuzaft_zjf
17,Full Control Bodyweight App - Jump Lunges - EN,https://www.youtube.com/embed/D3n04Zjebsg?si=SIa3HoH8Ezd65i1j
18,Full Control Bodyweight App - Catch Hook Sprawls - EN,https://www.youtube.com/embed/1-Nsvl4-7LQ?si=JwjJpoNf96-Q6dUv
19,Full Control Bodyweight App - Mountain Climbers Pylo Spider - EN,https://www.youtube.com/embed/7Y7N-b1m49g?si=QNUNzSVyEi47pN7W
20,Full Control Bodyweight App - Russian Sit-ups - EN,https://www.youtube.com/embed/FIBku-9n1QY?si=okuG4_uAk2IGwRHT
21,Full Control Bodyweight App - Frog Burpees - EN,https://www.youtube.com/embed/CtX01DHlN-I?si=5WGGUitU0hrP2Y3j
22,Full Control Bodyweight App - Spiderman Push-ups - EN,https://www.youtube.com/embed/HvWlsgwLSVA?si=FVUybn7JsExrS2_S
